content,score,preprocess
mantap jiwa Bossque 👍☕🤠,5,mantap jiwa bossque
mohon devolofer gamenya untuk menambahkan mode offline saat tidak punya kuta biar aku bisa main dimana saja kalau sudah ditambahin mode offlinenya aku kasih bintang 5 semoga bermanfaat dan dibaca😊😊,4,mohon devolofer mode offline tidak kuta biar mana ditambahin mode offlinenya bintang moga manfaat baca
"untuk Aldi Fauzi,,,,klu waktu di tamba 40 dtk,,yg ada main baru 2 Mach udh 1 jam lebih coy,,main udh terlalu lamah malah minus bintang🤣,,yg ad player"" malah bosan main ini game,,TDK semua orang seperti Lo yg kebanyakan rebahan,,jadi beban keluarga.",5,aldi fauziklu tamba dtkyg mach jam coymain lamah minus bintangyg player bosan gametdk orang lo banyak rebahanjadi beban keluarga
mohon perbaiki durasi nya gem nya udah bagus soalnya,5,mohon baik durasi bagus
moontonn gimanaa nii masaa guaa mauu carii heroo 3 pun susahh bangettt di kasii Hero 1 muluuu padalan level udahh 6 yang lain dapett gold4 kalauu akuu dapet1 GK 2 gamee GK adill sama sekali game apa inii semakin update semakin anehh,1,moontonn masaa cari heroo susahh kasi hero melulu padalan level dapett gold kalauu tidak gamee tidak adill update anehh
gamenya udah bagus tapi kenapa Hero yin dihilangkan malah diganti sama suyuo gw pengen yin dibalikin ya.tolong Hero yin dibalikan lagi karna gw suka pakai yin di mlbb 🙏🙏,4,bagus tapi hero yin hilang ganti suyuo yin dibalikin yatolong hero yin balik suka pakai yin mlbb
lose streak mudah win streak gak pernah.... membosankan!!!!!!!,1,lose streak mudah win streak tidak bosan
"pola pikirnya dimana, menang baris ke 4 nambah 1 bintang cuma 3x, kalah turun 4 bintang 2x 👎🏻",1,pola pikir mana menang baris tambah bintang kalah turun bintang
"game busuk makin sini makin gak jelas, kurang 1 hero doang padahal jadi bintang 3 tapi gaaakkkkk dikasih kasihhh kan anehhhhhhhhhh maunya apa sih?",1,busuk tidak kurang hero doang bintang tapi gaaakkkkk kasih kasihhh anehhhhhhhhhh mau
tolong untuk ping nya di dan server nya du benerin,1,tolong ping server du benerin
"main kok di suru mikir, kan jadi kepikiran, papi moonton kapan rilis komander baru?",5,suruh mikir pikir papi rilis komander
gamenya asik di saat waktu senggang,5,asik senggang
"sangat terbaca jika pilihan hero ditoko acakadul sudah pasti kalah, saat sudah beberapa kali loosestreak pilihan hero ditoko dan kartu go go kuat sudah dipastikan menang",1,baca pilih hero toko acakadul kalah loosestreak pilih hero toko kartu kuat menang
"game nya seru, tapi masih banyak yg bisa pake cheat, masa harga 4 gold bintang dua bisa kalah sama harga 3 gold bintang dua,, tolong lah perbaiki agar tidak ada yg bisa cheat",3,seru tapi cheat harga gold bintang kalah harga gold bintang tolong baik tidak cheat
woi montoon itu gimana konsep nya pasif purify 30 detik tapi awal awal udah ke setun aja kek mana aneh bener,1,montoon konsep pasif purify detik tapi tun aneh
"terlalu fokus ngeplagiat game lain,kreatif dikit napa",1,fokus ngeplagiat lainkreatif dikit
"combo 6 astro 6 swordsman kalah sama combo yg cuma 6 sama 3, terus hero harga 5 gold bintang 2 juga kalah sama hero harga 4 gold bintang 3, tolong lah keseimbangan hero heronya, jangan kayak gini, timpang banget, stok hero harga 5 gold juga cuma 9, kalau udah di ambilin ya ga bakal jadi, apa lah kau nih moonton moonton",1,combo astro swordsman kalah combo hero harga gold bintang kalah hero harga gold bintang tolong imbang hero hero jangan timpang stok hero harga gold ambil tidak kau nih
"mengandalkan hoki, setelah legend jarang hoki",1,andal untung legend jarang untung
entah kenapa saya tiba-tiba tidak bisa masuk kedalam game sudah saya tunggu beberapa jam tapi tetap tidak bisa lalu saya hapus dan download lagi tapi tetap tidak bisa karena saya tidak tahu caranya jadi saya kemungkinan tidak akan memainkan game ini selama beberapa hari. dan kenapa koneksi saya selalu tidak stabil padahal waktu saya cek tidak ada masalah apapun pada koneksi jaringan.,3,tibatiba tidak masuk dalam tunggu jam tapi tidak hapus download tapi tidak tidak tidak main koneksi tidak stabil cek tidak apa koneksi koneksi
"tolong banget untuk montoon yang terhormat, TOLONG BANGET, untuk magic ches nostalgia run, untuk commander nya di kembalikan semula, bisa memilih skill, khusus untuk yang run mohon banget, saya kangen sama abe, austus, ling panggung angela ikat tolong banget montoon, rasanya kurang nostalgia kalau commander gak bisa milih skill",3,tolong montoon hormat tolong ches nostalgia run commander kembali pilih skill khusus run mohon kangen abe austus ling panggung angela ikat tolong montoon kurang nostalgia commander tidak pilih skill
lebih asik dulu sebelum di pisah sama mlbb,1,asik pisah mlbb
buf guinn hapus roll bawah monton peliss gw mah,1,buf guinn hapus roll monton peliss mah
game goblokkk,1,goblokkk
abis win strek koneksi terputus pas lagi mau transisi sinergi gajelas bet b2 b2,1,habis win strek koneksi putus transisi sinergi bintang bintang
yg penting main.bos gameya ok,5,mainbos gameya ok
keren suka mainnya jadi game favorit,5,keren suka main favorit
"TAMBAHIN WAKTU PERSIAPAN NYA 1 JAM MOONTOD ,ITU PENDEK AMAT MONYET",1,tambah siap jam moontod pendek monyet
Kembalikan magic chess yg lama moonton,1,kembali
idep pelet cai gogo,1,idep pelet cai gogo
seru buat teman....,5,seru teman
gajelas persentase hero toko tidak sesuai,1,persentase hero toko tidak sesuai
oi monoton kalau ad orang ngetroll bikinin invalid lah kau pun update banyakin orang ngetroll gini gak kaurus,1,oi monoton orang ngetroll bikin invalid kau update banyak orang ngetroll tidak kaurus
"Game Settingan ,Roll Shop Gak Adil",3,settingan roll shop tidak adil
tolong lah sinergi nya jangan scam Doong udah baik kasih b5,5,tolong sinergi jangan scam bintang
"saya kecewa sama game nya meskipun seru saya sungguh kecewa Crest saya di event draw Ling magical/Chou Hero itu sudah 534 dan saya topup 45,000 tetapi saya hanya mendapat Crest 1/2 saya jadi sangat kecewa tidak bisa beli Ling CC karena saya sudah beli mahal tetapi tidak dapat",2,kecewa seru sungguh kecewa crest event draw ling magicalchou hero topup tetapi crest kecewa tidak beli ling cc beli mahal tetapi tidak
tolong di perbaiki lah game nya masa Commander yang udah punya sudah sampe B2 harus malah hilang,1,tolong baik commander bintang hilang
"game yg nggak adil, beberapa player mudah sekali menaikkan 3 bintang karena hero yg dibutuhkan selalu muncul, sementara sy untuk naik ke bintang 2 pun susah padahal hero murah. Scroll shop sampai gold habis hero yg dicari nggak muncul2..",1,adil player mudah naik bintang hero butuh muncul bintang susah hero murah scroll shop gold habis hero cari muncul
geme nya bagus bgt gw suka tapi tambahin event lagi dong biar tambah seru,5,bagus suka tapi tambah event biar seru
"setelah di update, kenapa malah nge lag parah banget, bukan nya makin bagus",3,update nge lag parah bukan bagus
tolong nerf kaja,1,tolong nerf kaja
tolonglah diperbaiki algoritma roll hero nya masa 10 kali roll dpt hero yg dibutkan 1 bahkan bisa 20/1,1,tolong baik algoritma roll hero roll hero dibutkan
kenapa setiap lama gk main data nya hilang sendiri dan harus download lagi. tolong kenapa itu buang buang data aja,1,tidak data hilang download tolong buang buang data
untuk item nya ditambahin,5,item ditambahin
gasuka,1,gasuka
jangan terlalu sering ganti² sinergi setiap sisen pusing adaptasi nya broo,3,jangan ganti sinergi sisen pusing adaptasi broo
"udh males banget maen game ini gegara akun tiba tiba ilang padahal udah terkait dengan akun montoon dan akun Google malah tb tb ilang sendiri, tolong dong kasi fitur gonta ganti akun mcgg nya biasa ga ilang ilang terus akun ku.",1,malas gegara akun hilang kait akun montoon akun google tb tb hilang tolong fitur gonta ganti akun tidak hilang hilang akun
tolong buat moonton perbaiki pertemuan match biar adil dlm pertandingan,1,tolong baik temu match biar adil tanding
saya tidak merekomendasikan game ini bagi hp ram 2 GB karena lag parah jir 😔 dari tadi gw main gak bisa ngatur sinergi kalah terus deh. dalam segi gemplay saya cukup suka dan puas dengan game yang sekarang👍,3,tidak rekomendasi ponsel ram gb lag parah jir tidak atur sinergi kalah segi gemplay suka puas
"koneksi sering buruk, padahal pakai wifi dan data... ditambah lagi di bagian menu nonton replay, tapi hilang padahal baru main 1 jam yang lalu replay nya sudah tidak ada",1,koneksi buruk pakai wifi data tambah menu tonton replay tapi hilang jam replay tidak
"tiada hari tanpa download ulang data, tiap hari selalu download data. ga disini ga di mlbb sama aja developernya belum pintar",1,tiada download ulang data download data tidak tidak mlbb developer belum pintar
Miya comender harus di nerf karna terlalu hama,1,miya comender nerf hama
"blessing 3 kali dalam satu match tidak pernah ke sinergi yang diharapkan, ya emang random sih tapi ya masa tinggal blessing bisa aktif 10 sinergi ga dapet cuma berharap ke blesing",1,blessing match tidak sinergi harap random tapi tinggal blessing aktif sinergi tidak harap blesing
cukup seru dan jauh dri trol ..wkwkwk,5,seru trol wkwkwk
"banyak yg nge cheat,moonton ga bisa deteksi dan mengatasi nya. banyak lawan yg hero nya sudah bintang 3,padahal baru fase awal lebih baik di uninstall aja,jangan download lagi",1,nge cheatmoonton tidak deteksi atas lawan hero bintang fase uninstall ajajangan download
gambarnya hitam terlalu jlek,1,gambar hitam jlek
game nya asik dan menyenangkn,5,asik senang
game yg sangat normal,5,normal
masa hero 5 gold b2 kalah sama hero 3 gold b2 aneh kan gak lucu,1,hero gold bintang kalah hero gold bintang aneh tidak lucu
"Nice banget ada magic chess yang kek dulu ,ya tapi ga kek dulu lagi 👍",5,nice tapi tidak
Bagus tapi ada yang kurang,5,bagus tapi kurang
"game nya terlalu berat FC terus setiap main,fps drop parah,burik,lebih berat dari ml",1,berat fc mainfps drop parahburiklebih berat ml
"game gak jelas hero yang keluar gak sesuai level, hero harga 1 di toko masih banyak padahal masih level 5 gak ada satupun yang keluar, sistem banya pun juga gak jelas, mending hapus aja mode mc ini👎👎",1,tidak hero tidak sesuai level hero harga toko level tidak satu sistem banya tidak mending hapus mode
"jika tidak ada magic kristal hero apa pun terasa hambar tolong dong,di setarakan Hero yg memilki magic kristal terlalu over",4,tidak kristal hero hambar tolong dongdi tara hero memilki kristal over
"game nya seru sih tapi kurang bervariasi kek dulu, pliss kembalikan pemilihan megic cristal ton",2,seru tapi kurang variasi pliss kembali pilih megic cristal ton
lebih suka magic chees yang lama,1,suka chees
"optimalkan gogocardnya comender yang baru dan yang lama tidak dapat bersaing, masih lebih baik mode nostalgia",1,optimal gogocardnya comender tidak saing mode nostalgia
ga ramah pemain nya apus aja game nya cuman bikin orang kena mental sampe sakit hati di relief,1,tidak ramah main hapus cuman orang kena mental sakit hati relief
apa ni game aneh rolingan rusak,1,nih aneh rolingan rusak
sangat buruk permainan yang memihak,1,buruk main
kenapa moonton saya lose streak terus untuk mencari combo Hero saja rasa nya sangat sulit,3,lose streak cari combo hero sulit
optimasi pada perangkat device menengah sangat jelek,1,optimasi perangkat device tengah jelek
woi montoon ini gimana ini kok lose streak terus perbaiki lagi lah montoon,1,montoon lose streak baik montoon
game nya seru dan gampang,5,seru gampang
geme ya bagus dan saya suka main nya tapi tolong monton kasih dong mode offline nya biar lebih seru lagi terimakasih,4,bagus suka tapi tolong monton mode offline biar seru terimakasih
"sudah cukup bagus, mungkin perlu ditingkatkan masalah jaringan dan sedikit masukan untuk setiap babak agar dikasih menu 'siap' jika dirasa player sudah tidak ingin melakukan perubahan pada babak itu, dan jika keseluruhan player menekan menu siap otomatis battle akan dimulai. dengan begitu total waktu pertandingan bisa dipersingkat",5,bagus tingkat koneksi sedikit masuk babak kasih menu rasa player tidak ubah babak player tekan menu otomatis battle total tanding singkat
Usah enak season 1 ada vonetis malah dibuang jadi makin banyak dh roll bawah,1,enak season vonetis buang roll
min keluarin skin gogopas guin lagi min🗿,5,min keluar skin gogopas guin min
game suka2 developer aja nii kamprett,1,suka developer kamprett
untuk kali ini ajah gw kasih b1 tolong benerin lagi game nya gw gak bisa buka shop pas di dalam game. jadi susah comboin sinergi,1,bintang tolong benerin tidak buka shop susah comboin sinergi
hp cepat banget panas saat main harap diperbaiki develover !!!!!!,5,ponsel cepat panas harap baik develover
"game nya bagus si dan seru buat dimainin pas lagi santai tapi ko jaringan nya leg kadang enggak pleas tolong diperbaiki ya biar ga leg,dan ngebag",5,bagus seru dimainin santai tapi koneksi leg kadang pleas tolong baik biar tidak legdan ngebag
game nya bagus banget tapi ngereng nya susah aku juara 2.3.4 juaraku segitu terus,5,bagus tapi ngereng susah juara juara segitu
buruk pas kalah -4 sekali menang cma dapet 1 bintang.. mending G usah maen ini buang buang waktu,1,buruk kalah menang bintang mending buang buang
gem nya seru menarik bagus terus ramah ramah orang nya,4,seru tarik bagus ramah ramah orang
pikir pikir dulu sebelum download,1,pikir pikir download
"gamenya bagus dan seru, bisa mengasah kemampuan analisa dan membuat strategi, cuman game ini agak sulit untuk di pahami oleh pemula di karena kan mekanisme game yang sangat sulit di mengerti pada setiap permainan, saran saya buat pemain perbanyak literasi dan cari referensi dari influencer jadi tidak hanya bertumpu pada sinergi hafalan saja",5,bagus seru asah mampu analisa strategi cuman sulit paham mula mekanisme sulit erti main saran main banyak literasi cari referensi influencer tidak tumpu sinergi hafal
gem nya bagus gak kayak ml yg burik tapi kenaoa bintang empat karna satu pabrik sama ml masa gua win rete nya 45 direnk padahal gua mainnya jago kan aneh haduh ml pusing aku liat nya asli mending download ini dari ml,4,bagus tidak ml burik tapi kenaoa bintang pabrik ml win rete direnk main jago aneh aduh ml pusing lihat asli mending download ml
"Kurang fairr, kadang2 hero yg OP bug maju mundur maju mundir doang gimana bisa kasih damage..error",5,kurang fairr kadang hero op bug maju mundur maju mundir doang damageerror
aku senang bermain game ini bisa buat pikiran dan hati tenang Secra tidak sadar membuat otak lebih ringan dan menjadi teman ketika tidak ada kesibukan atau pekerjaan di saat santai,5,senang main pikir hati tenang secra tidak sadar otak ringan teman tidak sibuk kerja santai
pusingg,5,pusingg
kebanyakan bot,1,banyak bot
"game absurd,game hoki hokian",1,absurdgame untung hoki
kacau game setiap hari main selama 4 jam Leve itu 2,1,kacau jam leve
yoi,5,yoi
game gak jelas gak pernah di kasih hero yang di mau,1,tidak tidak hero
"pakai Jonson early kartu biru,moonton busetttt .dlfak uuuu",1,pakai jonson early kartu birumoonton busetttt dlfak uuuu
lebih enak ini daripada mlbb susah bener mending mcgg gampang👍👍👍,5,enak mlbb susah mending gampang
hapus Harley.,1,hapus harley
game sesuai kehokian,1,sesuai hoki
gak masuk akal,1,tidak masuk akal
parah. gak pernah di kasih hero. kayak udah di setting kapan kita menang kapan kita kalah. habis juara 1 main lagi juara 8. kan kocak,1,parah tidak hero setting menang kalah habis juara juara kocak
tiap update bukan makin baik banyak scam rollannya,3,update bukan scam rollannya
gemnya josss demoloh,5,gemnya josss demoloh
gem yg bagus dah karakter nya sangat imut dan lucu 😊☺️☺️☺️,5,bagus karakter imut lucu
banyak bug yang harus di perbaiki mohon di perbaiki secepatnya,3,bug baik mohon baik cepat
aku rekomendasiin game ini 😍😍 karna game nya sangat sangat sangat sangat sangat cocok buat orang yang sedang stres biar makin stres sampe depresi 😍😍,1,rekomendasi cocok orang stres biar stres depresi
"maaf Dengan berat hati kami turunkan rating bintang di karenakan combo & Hero yg susah di temukan.tolong di perbaiki masalah mencari Hero di roll atas, yg susah di temukan. terimakasih.",1,maaf berat hati turun rating bintang karena combo hero susah temukantolong baik cari hero roll susah temu terimakasih
